date,subtheatre,region,productgroup,productlinecode,ordertype,bookingquantity,bookingamt,total_list
2019-04-17,EMEA,CEEMA,DCS,1U,SH,14,"20,893.42","46,193.72"
2019-04-18,EMEA,CEEMA,DCS,1U,ZOR,2,"5,307.81","20,434.00"
2019-04-02,EMEA,Cross Geo (Philip),DCS,1U,SH,0,581.53,"1,453.82"
2019-04-15,EMEA,DACH&Russia,DCS,1U,SH,41,"64,793.50","1,27,492.54"
2019-04-21,EMEA,France,DCS,1U,SH,5,"8,434.31","24,640.21"
2019-04-21,EMEA,France,DCS,1U,ZOR,4,"7,512.28","19,657.54"
2019-04-20,EMEA,NOE,DCS,1U,SH,15,"22,253.02","50,698.95"
2019-04-18,EMEA,SOE,DCS,1U,SH,2,"2,919.81","6,488.47"
2019-04-22,EMEA,UK&I,DCS,1U,SH,17,"26,476.25","55,892.22"
2019-04-15,EMEA,CEEMA,DCS,FA,SH,9,"43,882.02","1,04,874.81"
2019-04-26,EMEA,DACH&Russia,DCS,FA,SH,9,"71,251.99","2,02,728.61"
2019-04-03,EMEA,France,DCS,FA,SH,6,"20,839.20","69,464.04"
2019-04-10,EMEA,SOE,DCS,FA,SH,2,"11,522.72","38,409.06"
2019-04-21,EMEA,UK&I,DCS,FA,SH,1,"7,981.50","33,256.23"
2019-04-27,EMEA,CEEMA,DCS,I6,SH,8,"13,483.36","21,747.28"
2019-04-05,EMEA,DACH&Russia,DCS,I6,SH,52,"3,08,669.24","17,11,255.32"
2019-04-18,EMEA,DACH&Russia,DCS,I6,ZCR,-23,"-81,877.76","-6,72,944.66"
2019-04-03,EMEA,DACH&Russia,DCS,I6,ZDR,23,"81,877.76","6,72,944.66"
2019-04-15,EMEA,DACH&Russia,DCS,I6,ZOR,41,"1,70,710.74","12,51,384.05"
2019-04-23,EMEA,France,DCS,I6,ZOR,27,"1,22,098.86","5,33,030.57"
2019-04-17,EMEA,UK&I,DCS,I6,ZOR,9,"40,699.62","1,77,676.86"
2019-04-16,EMEA,CEEMA,DCS,L1,ZDR,1,"12,967.89","23,794.29"
2019-04-22,EMEA,CEEMA,DCS,L1,ZOR,39,"13,277.44","29,921.41"
2019-04-10,EMEA,DACH&Russia,DCS,L1,SH,1181,"2,97,792.68","10,04,133.37"
2019-04-03,EMEA,DACH&Russia,DCS,L1,ZOR,21,"19,674.73","26,816.67"
2019-04-26,EMEA,France,DCS,L1,SH,14,"3,237.22","5,439.10"
2019-04-27,EMEA,NOE,DCS,L1,SH,76,"35,389.02","1,26,655.58"
2019-04-07,EMEA,NOE,DCS,L1,ZOR,0,0,0
2019-04-14,EMEA,UK&I,DCS,L1,SH,6,418.36,674.76
2019-04-21,EMEA,UK&I,DCS,L1,ZOR,550,"3,72,347.42","9,26,148.66"
2019-04-01,EMEA,NOE,DCS,NC,ZOR,0,0,0
2019-04-11,EMEA,CEEMA,DCS,NT,SH,1375,"7,20,789.49","31,12,164.20"
2019-04-20,EMEA,CEEMA,DCS,NT,ZCR,-10,"-1,617.12","-5,820.10"
2019-04-28,EMEA,CEEMA,DCS,NT,ZOR,516,"1,89,944.59","8,31,607.14"
2019-04-05,EMEA,CEEMA,DCS,NT,ZRE,-2,-157.3,-466
2019-04-10,EMEA,Cross Geo (Philip),DCS,NT,SH,1005,"6,47,346.42","22,44,599.27"
2019-04-12,EMEA,Cross Geo (Philip),DCS,NT,ZCR,-18,"-3,985.45","-7,012.68"
