FiscalQuarterYear,FiscalMonthYear,CalMonth,TxnDate,Sub_Theater,Region,ProductGroup,ProductLineCode,ORDER_TYPE,Booking_Quantity,Bookings,TOT_LIST_PR_USD_AM
2019 Q1,2019 1,Nov,11-08-2019,EMEA,CEEMA,DCS,1U,SH,14,20893.42,46193.72
2019 Q1,2019 1,Nov,11/21/2019,EMEA,CEEMA,DCS,1U,ZOR,2,5307.81,20434
2019 Q1,2019 1,Nov,11/28/2019,EMEA,Cross Geo (Philip),DCS,1U,SH,0,581.53,1453.82
2019 Q1,2019 1,Nov,11/28/2019,EMEA,DACH&Russia,DCS,1U,SH,41,64793.5,127492.54
2019 Q1,2019 1,Nov,11/20/2019,EMEA,France,DCS,1U,SH,5,8434.31,24640.21
2019 Q1,2019 1,Nov,11/26/2019,EMEA,France,DCS,1U,ZOR,4,7512.28,19657.54
2019 Q1,2019 1,Nov,11/30/2019,EMEA,NOE,DCS,1U,SH,15,22253.02,50698.95
2019 Q1,2019 1,Nov,11/21/2019,EMEA,SOE,DCS,1U,SH,2,2919.81,6488.47
2019 Q1,2019 1,Nov,11/21/2019,EMEA,UK&I,DCS,1U,SH,17,26476.25,55892.22
2019 Q1,2019 1,Nov,11-01-2019,EMEA,CEEMA,DCS,FA,SH,9,43882.02,104874.81
2019 Q1,2019 1,Nov,11-07-2019,EMEA,DACH&Russia,DCS,FA,SH,9,71251.99,202728.61
2019 Q1,2019 1,Nov,11-02-2019,EMEA,France,DCS,FA,SH,6,20839.2,69464.04
2019 Q1,2019 1,Nov,11-12-2019,EMEA,SOE,DCS,FA,SH,2,11522.72,38409.06
2019 Q1,2019 1,Nov,11-04-2019,EMEA,UK&I,DCS,FA,SH,1,7981.5,33256.23
2019 Q1,2019 1,Nov,11/24/2019,EMEA,CEEMA,DCS,I6,SH,8,13483.36,21747.28
2019 Q1,2019 1,Nov,11/17/2019,EMEA,DACH&Russia,DCS,I6,SH,52,308669.24,1711255.32
2019 Q1,2019 1,Nov,11-08-2019,EMEA,DACH&Russia,DCS,I6,ZCR,-23,-81877.76,-672944.66
2019 Q1,2019 1,Nov,11/25/2019,EMEA,DACH&Russia,DCS,I6,ZDR,23,81877.76,672944.66
2019 Q1,2019 1,Nov,11/14/2019,EMEA,DACH&Russia,DCS,I6,ZOR,41,170710.74,1251384.05
2019 Q1,2019 1,Nov,11/26/2019,EMEA,France,DCS,I6,ZOR,27,122098.86,533030.57
2019 Q1,2019 1,Nov,11/29/2019,EMEA,UK&I,DCS,I6,ZOR,9,40699.62,177676.86
2019 Q1,2019 1,Nov,11-04-2019,EMEA,CEEMA,DCS,L1,ZDR,1,12967.89,23794.29
2019 Q1,2019 1,Nov,11/17/2019,EMEA,CEEMA,DCS,L1,ZOR,39,13277.44,29921.41
2019 Q1,2019 1,Nov,11-03-2019,EMEA,DACH&Russia,DCS,L1,SH,1181,297792.68,1004133.37
2019 Q1,2019 1,Nov,11-07-2019,EMEA,DACH&Russia,DCS,L1,ZOR,21,19674.73,26816.67
2019 Q1,2019 1,Nov,11-05-2019,EMEA,France,DCS,L1,SH,14,3237.22,5439.1
2019 Q1,2019 1,Nov,11/22/2019,EMEA,NOE,DCS,L1,SH,76,35389.02,126655.58
2019 Q1,2019 1,Nov,11/24/2019,EMEA,NOE,DCS,L1,ZOR,0,0,0
2019 Q1,2019 1,Nov,11-04-2019,EMEA,UK&I,DCS,L1,SH,6,418.36,674.76
2019 Q1,2019 1,Nov,11/19/2019,EMEA,UK&I,DCS,L1,ZOR,550,372347.42,926148.66
2019 Q1,2019 1,Nov,11/26/2019,EMEA,NOE,DCS,NC,ZOR,0,0,0
2019 Q1,2019 1,Nov,11-04-2019,EMEA,CEEMA,DCS,NT,SH,1375,720789.49,3112164.2
2019 Q1,2019 1,Nov,11-10-2019,EMEA,CEEMA,DCS,NT,ZCR,-10,-1617.12,-5820.1
2019 Q1,2019 1,Nov,11-02-2019,EMEA,CEEMA,DCS,NT,ZOR,516,189944.59,831607.14
2019 Q1,2019 1,Nov,11/20/2019,EMEA,CEEMA,DCS,NT,ZRE,-2,-157.3,-466
2019 Q1,2019 1,Nov,11/19/2019,EMEA,Cross Geo (Philip),DCS,NT,SH,1005,647346.42,2244599.27
2019 Q1,2019 1,Nov,11/25/2019,EMEA,Cross Geo (Philip),DCS,NT,ZCR,-18,-3985.45,-7012.68
2019 Q1,2019 1,Nov,11/17/2019,EMEA,Cross Geo (Philip),DCS,NT,ZDR,19,3169.74,5933.56
2019 Q1,2019 1,Nov,11/25/2019,EMEA,Cross Geo (Philip),DCS,NT,ZOR,298,138202.48,568230.8
2019 Q1,2019 1,Nov,11/30/2019,EMEA,Cross Geo (Philip),DCS,NT,ZRE,-5,-4063,-24458
2019 Q1,2019 1,Nov,11/13/2019,EMEA,DACH&Russia,DCS,NT,SH,3107,1636862.76,6640830.53
2019 Q1,2019 1,Nov,11-02-2019,EMEA,DACH&Russia,DCS,NT,ZCR,-718,-323821.41,-2071558.24
2019 Q1,2019 1,Nov,11-03-2019,EMEA,DACH&Russia,DCS,NT,ZCRN,4,0,0
2019 Q1,2019 1,Nov,11-06-2019,EMEA,DACH&Russia,DCS,NT,ZDR,718,323780.03,2071516.86
2019 Q1,2019 1,Nov,11-12-2019,EMEA,DACH&Russia,DCS,NT,ZOR,2953,1227526.17,5120586.94
2019 Q1,2019 1,Nov,11/17/2019,EMEA,DACH&Russia,DCS,NT,ZRE,-48,-77082.12,-220234.62
2019 Q1,2019 1,Nov,11/25/2019,EMEA,France,DCS,NT,SH,1802,821639.46,2968271.61
2019 Q1,2019 1,Nov,11-08-2019,EMEA,France,DCS,NT,ZOR,553,381383.23,872476.65
2019 Q1,2019 1,Nov,11-10-2019,EMEA,France,DCS,NT,ZRE,-1,-117.79,-259.51
2019 Q1,2019 1,Nov,11/13/2019,EMEA,NOE,DCS,NT,SH,1992,1298214.06,4690673.37
2019 Q1,2019 1,Nov,11/17/2019,EMEA,NOE,DCS,NT,ZCR,-23,-38471.74,-62051.19
2019 Q1,2019 1,Nov,11-08-2019,EMEA,NOE,DCS,NT,ZCRN,32,0,0
2019 Q1,2019 1,Nov,11/21/2019,EMEA,NOE,DCS,NT,ZDR,24,17633.23,62182.09
2019 Q1,2019 1,Nov,11/16/2019,EMEA,NOE,DCS,NT,ZOR,204,170200.47,503046.05
2019 Q1,2019 1,Nov,11/27/2019,EMEA,SOE,DCS,NT,SH,741,298245.5,1227888.25
2019 Q1,2019 1,Nov,11/21/2019,EMEA,SOE,DCS,NT,ZCR,-10,-1234.89,-3964.92
2019 Q1,2019 1,Nov,11/15/2019,EMEA,SOE,DCS,NT,ZDR,8,2627.7,24173.48
2019 Q1,2019 1,Nov,11/19/2019,EMEA,SOE,DCS,NT,ZOR,163,115374.62,404146.63
2019 Q1,2019 1,Nov,11/26/2019,EMEA,SOE,DCS,NT,ZRE,-1,-462.14,-3554.92
2019 Q1,2019 1,Nov,11-03-2019,EMEA,UK&I,DCS,NT,SH,788,560751.25,1826862.49
2019 Q1,2019 1,Nov,11-04-2019,EMEA,UK&I,DCS,NT,ZDR,160,72044.73,314792.2
2019 Q1,2019 1,Nov,11/13/2019,EMEA,UK&I,DCS,NT,ZOR,1552,658587.9,3695660.54
2019 Q1,2019 1,Nov,11/29/2019,EMEA,UK&I,DCS,NT,ZRE,-4,-2626.38,-7879.13
2019 Q1,2019 1,Nov,11/21/2019,EMEA,CEEMA,DCS,WB,SH,4,8406.96,33825.6
